"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2021","3,787.26","3,753.92","3,789.61","3,740.93","","1.23%"
"12/29/2021","3,741.07","3,756.54","3,770.09","3,727.35","","-0.97%"
"12/28/2021","3,777.56","3,766.50","3,790.44","3,751.00","","0.99%"
"12/27/2021","3,740.63","3,711.77","3,742.12","3,709.19","","1.02%"
"12/24/2021","3,702.72","3,700.34","3,703.72","3,653.63","","-0.05%"
"12/23/2021","3,704.60","3,745.52","3,751.37","3,691.04","","-1.12%"
"12/22/2021","3,746.75","3,715.20","3,759.67","3,699.06","","1.45%"
"12/21/2021","3,693.02","3,705.33","3,713.68","3,670.16","","0.65%"
"12/20/2021","3,669.05","3,657.65","3,674.71","3,629.61","","-1.46%"
"12/17/2021","3,723.27","3,725.04","3,739.59","3,696.50","","-0.72%"
"12/16/2021","3,750.36","3,705.57","3,755.07","3,701.35","","3.55%"
"12/15/2021","3,621.82","3,653.16","3,666.53","3,608.60","","0.07%"
"12/14/2021","3,619.39","3,533.82","3,638.49","3,532.29","","0.03%"
"12/13/2021","3,618.31","3,790.10","3,793.88","3,613.88","","-3.77%"
"12/10/2021","3,760.23","3,806.97","3,814.06","3,760.23","","-1.39%"
"12/09/2021","3,813.29","3,801.67","3,847.76","3,780.30","","1.05%"
"12/08/2021","3,773.61","3,904.84","3,915.65","3,773.61","","-2.57%"
"12/07/2021","3,873.20","3,860.83","3,880.84","3,810.03","","1.66%"
"12/06/2021","3,810.10","3,919.10","3,937.54","3,800.76","","-2.63%"
"12/03/2021","3,913.06","3,967.88","3,977.16","3,905.38","","-0.87%"
"12/02/2021","3,947.54","3,940.09","3,972.85","3,914.43","","-0.30%"
"12/01/2021","3,959.29","3,907.17","3,962.22","3,900.16","","1.77%"
"11/30/2021","3,890.59","3,828.25","3,902.72","3,827.55","","0.28%"
"11/29/2021","3,879.54","3,872.19","3,928.52","3,846.12","","1.80%"
"11/26/2021","3,810.98","3,852.99","3,876.13","3,810.75","","-3.47%"
"11/25/2021","3,947.82","3,964.25","3,990.95","3,932.55","","-0.07%"
"11/24/2021","3,950.56","4,001.89","4,021.25","3,913.39","","-0.25%"
"11/23/2021","3,960.33","3,832.33","3,974.76","3,776.61","","2.26%"
"11/22/2021","3,872.77","4,008.13","4,017.02","3,872.77","","-3.58%"
"11/19/2021","4,016.47","4,121.74","4,127.00","4,000.26","","-1.89%"
"11/18/2021","4,093.85","4,120.81","4,150.57","4,082.17","","-1.33%"
"11/17/2021","4,149.02","4,120.23","4,149.02","4,101.96","","0.70%"
"11/16/2021","4,120.02","4,147.69","4,158.31","4,094.15","","-0.37%"
"11/15/2021","4,135.14","4,121.50","4,162.02","4,111.04","","0.33%"
